text_clean,label
còn bạn này nữa thầy ơi,0
giọng cuốn vc,0
nguyễn đào_nguyên,0
thế thua gì bác khong công_khai mà cả vn điều biết tên nó bác nghĩ ngta đón được,0
ki nghe nói đi_ý về,0
không có thì sản_xuất,0
hợp_lí anh ơi,0
anh ui,0
con_người lại như_vậy,0
bảo dan tri_thap thì tự_ái,1
tại_sao phải trả_lời thầy,0
cái trend nghe có_vẻ mãi chúng_nó vẫn chưa chán nhỉ,0
đang lúc dầu_sôi lửa_bỏng bay kiếm clmn gì rồi đem bênh về đây nhà_nước nuôi tốn cơm tốn gạo,1
nho hom truoc chui_ong ba cha me ca vn la_minh no bi_ma nhap no_truoc bi_chet gao thet kinh_hon truoc dia nguc,0
anh minh chậm cái cặc,2
reaction thầy ơi,0
đoạn đánh răng chiếm quá nhiều thgian,0
đù dại ghê bọn đấy ngày nào nó lên phường xiên nó cái được tiếng luôn vào khám mấy anh_chị cung_thương xiên hết mọi thằng trên phường luôn nó sum,1
chị 200 triệu đi làm chym đi huhuh,0
tóm_lại là chửi nhau phải có văn_hóa e_thích page rồi đấy,0
tiệp,0
đi nhớ đem susan nha thầy,0
cái tay cái tay,0
vẫn có người tặng quà len_thai mình moi,0
giật mất mẹ cả cái mụn ruồi,0
tóm_lại là gái trai bực_mình vai_lon nhìn hoài khong,1
đào hà_văn rinaky cn anh_chị ơi cẩn_thận nhé,0
điều_kiện hạn_chế viruss phát_tán có_thể là phòng trên 26 độ là cơ_bản còn mọi thứ điều cis_thể hãy đọc kĩ những bài nói về viruss corona the_trang chính_thống_nha,0
bắt được đừng chữa nhốt vào chết luôn loại này đừng để đẻ trứng,2
optimusthree với 99 sức_mạnh,0
hahahaha,0
thế mọi người khong bit ak trần dần mắc bệnh từ chưa có dịch ak ông này mắc loại bệnh còn nguy_hiểm hơn covid 19,0
đồng_bọn nhỏ đó zo tù,0
nguyễn_thị_luận hà_nam vậy,0
gáy to thế_mi anh,0
bảo_tín đi du_lịch gặp gì ngứa_ngứa biển đã sợ lắm roi xuất_hiện này nữa,0
học cách kiểm_soát bộ_não của mình đi thích thì tiến tới ghét thì bỏ_qua,0
phạm linh_khong co_lon,1
qtrong gì trước_sau gì chẳng về nhà,0
tức diêng là idol vẫn còn ngon cơm tức diêng là mắt thấy nghe chứ khong phải nằm chiêm bao,0
thương cô lắm,0
cực_kỳ thu,0
thánh_chửi lãnh_án,0
xe chở súc_vật mong người_dân hãy tránh xa đề_phòng súc_vật phóng_uế lung_tung làm mất vệ_sinh,2
thế bạn hát bài jui có giới_thiệu mình khong lâu jui mình chẳng nghe bài hát mới nào cả,0
chúc anh_em năm mới vui_vẻ an_khang_thịnh vượng,0
có táo_quân thỳ mới là tết chứ,0
samsung vẫn đi làm bth nhé mỗi ngày đi làm là ngày vui,0
chú trung_đầu lon chứ chú tí đầu lân clg,2
chi đep chi_e thích,0
oh shjt,1
cáo từ,0
nhật long toang kiểu ni còn lâu lắm,0
hiếu bùi_sủa dơ,2
tot trung_bảnh,0
ad nói phét bê_tông ăn thế_nào,0
thuong ba,0
nhà tiên_tri ủng_hộ nghị_quyết 36 rồi nhé,0
nguyễn_thị_phương bạn ơi mình xin ảnh để sống ảo_duoc khong,0
chào nhà_báo vũ_hoàng_lân chào_danh hài_vũ_trụ trần tiger,0
tot đẹp_trai,0
lan hoa_tùng có dùng acc clone đi cmt đâu dạo,0
ăn bận như họ,1
cực kì_thuyết,0
nhảy thế nhỡ may tiếp đất khong chuẩn lại ngã thì thôi tôi tớ nhiều cứ bảo thằng cõng chắc,0
reaction thầy ơi,0
chửi lắm ad,0
chào nhéee,0
thu trang,0
đau_đầu vai lon,0
mày nói như lồn bọn đa_cấp nó đóng thuế còn gấp chục lần doanh_nghiệp tao thằng thớt ăn_lồn không oan chứ thằng bên dưới,2
thế cơ_á,0
khong phai_la nguoi_nua tinh_tinh_tinh,1
cam on thầy nha,0
quá ngu lồn đi,1
fan cô minh_hiếu đâu ta,0
nguyen ngoc tam_gia_phú phải không,0
tình đồng_chí thật kiên_trung_sách lịch_sử dạy giặc tra_tấn dã_man thế_nào không mở mồm có,2
bác dần chớm có tình_yêu nước roi đấy,0
toang quá thầy ơi,0
làm cái đéo gì thì làm đừng để ng ta nhắc đến vn là gắn với từ ăn_cắp,1
chị ba nói_chuyện dễ_thương quá,0
cả nước đồng_lòng riêng em khong,0
còn ngưỡng_mộ có ba nhé hihihi,0
báo công_an đi rồi quản_lý thị_trường hốt em luôn_thể,0
im mẹ đi thằng mặt lon,2
thằng ad này não bị delay năm,2
how to nói đểu vợ,0
mới hả moi,0
ad hãy tìm số báo nào của báo quân_đội viết ba rách_ô ba và đô na_trăm vãi báo,1
bọn chó sủa bậy,1
thì thầy đã có tính tấu hài từ lúc làm tuyển_thủ chuyên_nghiệp,0
sếp nhà mình cung_thế,0
bon comcom đơn_vị tác_chiến_điện_tử nhật_ký yêu nước dit_me chúng_mày vào mà đọc tưởng như chúng_mày hết đấy,2
các em nầy vào báo công_ngủ với ác_hồ thì phải chỉa vào mặt ác_hồ như_thế nầy nè,2
giận méo mặt,0
mv khá chất_lượng,0
đi làm cung_khổ,0
thầy duo với levi để tú_bơ vơ,0
lại người nữa đi,0
bác ơi chói quá,0
tự_hào quá vn ơi,0
khổ thân anh độ giải này mà nát mấy ông anti lại lên mà xem rồi team lại đủ thứ buồn còn ngày_mai nữa mong các anh cố_gắng,0
yêu ib nhé,0
chu_hoài tạo_hình suốt mà giờ mới trend,0
em mê con_nhỏ ngoài trần duy_hưng nhưng phải cố_gắng nhiều hơn,0
tại mấy tàu mà,0
sợ thật ấy,0
xin phép cả nhà nha,0
so với nghệ_thuật sắp_đặt trị_giá 100 tỷ vnd của ông hoàng trung_hải thì tác_phẩm trái chuối rất là chuối,0
nước hoa_đểu lấy đâu xịn hot girl_méo gì nhìn xấu_vai lon thề,2
sam luôn_luôn đi cặp nhé chồng lên nhau,0
trường giang_no no đg chỉ_trích vì tính_ích kỷ_khong nghĩ ngkhac chứ bả sống thì tốt th chứ có đâu,0
chúc_mừng năm mới,0
quân_tâm anh_em có link xem chưa bao_phê luôn anh_em ơi,0
thầy làm gì được đừng mv hát là được nha thầy nói chứ dit_me mãi yêu thầy,0
cứ như là kịch_bản việc hợp_lý hóa xây sân_bay long thành,0
cổ động_viên quảng_ninh nhưng rất thích_chất cổ_động_viên hải_phòng,0
đưa già đi trốn hợp_lý hơn,0
suni hạ_linh sau thấy vid này,0
bóng dơ,2
mai ánh có nha em ơi ibx nha,0
có tiền đi đường quyền,0
trần bình_trọng vừa xog like các bác sống nhanh_vai lon,1
tôi nghĩ tiền không làm gì được các ông,0
nhớ đến đấng nha gà,0
mê cô quá,0
vô_tình thấy giống anh quá,0
đặng_thái_hoàng châu_dư_âm từ năm này sang năm khác,0
tú khong anh blue và cái kết,0
fan cứng nè,0
em đây anh ơi bây_giờ em mới nhận bên em còn có người anh tuyệt_vời như anh anh độ,0
love you to ca_mo,0
đumoe nói leo,1
pha đánh răng ám_ảnh nhất lịch_sử điện_ảnh có_thể lưu_truyền mọi thời_đại là biểu_tượng để các diễn_viên học_tập,0
đu_má tu_biên_tu diēn luon,1
hoc gi_nua ve_san ma_kiem an_z,1
thanh_phương làm bài review đi,0
đình_quang thô_nhưnh thật quá bác,0
abe có_thể chiếm_đoạt được trái_tim của tiểu_tiểu nhưng riêng blue của tiểu_tiểu thì abe tuổi lon chiếm_đoạt được vv,0
đúng là chó làm người phải chịu haiz,1
bùi_minh huệ crush ưii anh thích em đó,0
cô minh_hiếu nói_chuyện thật_thà dễ_thương quá,0
biết tên kiểu này là gì không,0
uống nước là đi tù,1
đéo hiểu kiểu gì,1
chúc_panda của abe iu dấu 20 10 vui_vẻ nhé và đừng quên xóa kênh,0
đờ mờ cuộc_sống,1
phải xử_lý hình_sự mới sáng_mắt,0
dạo này nước mỹ_khong an_toàn không thấy cây súng của nhà tien_tri vậy,0
em về tộc anh roi nhưng chưa có fc,0
khó_chịu vãi,0
ri thì như thor luôn,0
góp vui một_tí,0
mọi người xin dành chút thời_gian nguyên_góp mỗi người like vào ảnh đại_diện của tôi được khong,0
triệu hồi phúc_nghẹo trọng_lú,2
nói thôi dân_chúng bớt xoắn lên nhưng thực_chắc cung_đâu_vào_đấy nó chơi ngầm thì đố biết cái nhà_nước này nó nát bét hết rồi các bác đừng có mơ làm nhà_nước nữa từ cấp đã xác_định là làm nghề gì mà khong liên_qua nhà_nước rồi vì tao biết,2
thời_gian ủ_bệnh lên tới 14 ngày khả_năng cao vẫn phải cách li theo_dõi thêm,0
mặt độ trông buồn_cười vai_lon kiểu ơi bố cầm moi khong,0
pha xử_lí nhất từng xem,0
thêm quả carô nữa nhìn chán,0
bà này đỉnh thật nữ_tướng đáng khâm_phục giá_như mà việt_nam có sự lãnh_đạo của bà ntkn thì đất_nước,0
dư_luận_viên vào ẳng nào,2
from,0
nghe kì_kì trai với mẹ mà liệu mấy cái lời nghe,0
lisa cai_lậy,0
tq hắc_xì cả thế_giới phải rung chuyển,0
nghiệp bê đê nặng lắm roi má ơi,2
duy_trần xin video với,0
yêu thầy dấu bé,0
nó giống vãi lon ưi,0
đã đến lúc những người làm công_tác bảo_vệ an_ninh các khu_phố cần vào_cuộc vì hình_ảnh của đất_nước không để mấy thằng lưu_manh làm mất mặt được,2
add muốn mua cái này mua đâu,0
lại lên_cơn hoang_tưởng bậc cao hơn,0
nguyễn_minh_bộ ba siêu_phẩm roi đọ,0
phương minn_ngộ nghĩnh nhỉ lạ lone_nhỉ rõ_ràng cố_tình tạo phốt để bán hàng online mà làm như lắm sống dơ_voi mua đồ trời,2
trần chuẩn,0
min,0
hình_như thiếu,0
chỉ chịch xã giao thôi,1
trúc ngân_ơ lại đi so_sánh dink_kout của cây a_tê em đỉnh_cao của jack vại bạn thiệt là khập_khiễng cả thiệt_thòi bạn nện đàn dzợ,0
hoàng kiên_nói đúng lại còn chuẩn,0
có nè em,2
page lâu_lâu nói_chuyện chuẩn dễ sợ,0
kinhh,0
quảng_cáo lộ liễu quá,0
nghĩ ló_chán,0
nghe thế thôii làm mấtt hết,0
loại này phải,0
buồn,0
mong mấy bác được cách li nhà đừng trốn là em vui rồi cứ đi nhông_nhông thì em cung_sợ,0
bậy zòi nhìn bên trái đi đừng nhìn bên phải,0
hợp_lý ưi,0
nguyễn_trọng_hiệp hiệp_bmw,0
lười chụp ảnh có mỗi kiểu chụp trộm thôi,0
thân_hình phụ_huynh gương_mặt học_sinh,0
giống như câu ngêu sò tranh nhau ngư ông đắc_lợi,0
hợp_lí anh ưi,0
đinh nguyễn_vươn anh tuan,0
vũ_mai ly_ui thật,0
huyền_khánh phùng chả_vờ chả vịt,0
nguyễn_định tui xợ,0
minh tran mình nghe cung_nghĩ là người miền trung mà bả khong biết phân_biệt,0
chị ba sang quá đi hửi quần_xì của les,2
đi sau việt_nam hàng thập_kỉ,0
chúng_mày phải thông_cảm các anh đều có ước_mơ làm hình_sự nhưng dòng đời xô_đẩy phải đi làm trật_tự và giao_thông,0
hang vu_đú trend lâu roài,0
thuyết_phục vai lon,0
rõ_ràng chức_danh chủ_tịch mà ý_thức lại khác vậy,0
nguyễn_thanh_mai trúc_toi kể chuyện cười may nghe nh làm_việc gì nhớ tập_trung chuyên_môn nghe ch,0
nhà nói dóc nhà ảo_tưởng chứ biết mẹ gì mà tiên_tri,2
bạn trai nhà người ta chưa bao_giờ làm tôi thất_vọng,0
đợi ei,0
tiêu_chảy cấp,0
sang năm mới mong anh bớt hí nha,0
lúc đó tôi tưởng thế_là ngầu,0
nhìn chất_vãi lìn anh ơi,0
nguyễn_tuấn phong_thương chị quá,0
âu_cung là số_phận muốn đóng vai_thiện nhưng đời xô đẩy,0
hi_vọng chị kế_toán thấy cái này chị ơi vì một cái tết ấm_no hãy thương chung toi em,0
ngọc huy_học hỏi idol để có quả đầu đẹp nha,0
benben duong,0
ơi cưng quá cô ơi,0
chui nua di_co bo tat ngua,1
nể nhất anh phóng_viên ngồi mặt tỉnh_bơ khong biến_sắc,0
vợ em mấy anh ơi em lớp trưởng nè,0
bản hơn,0
dạo này pản_động nhiếu quá mấy bạn bò đỏ,2
chất vai lon ưii,0
ủa nói vậy,0
cái cap hơi gây war đó nha vậy tui nói chương_trình mấy người này nọ mấy người chịu không nói gì thì suy_nghĩ vào xin_lỗi chứ chương_trình có duyên mà cmt có duyên thì dẹp im_may mồm cho_xong thân,2
nhà tiên_tri đấy ông có thêm phiếu về vn chơi nhé,0
đặt khô gà đâu thầy ơi,0
ngọc như chắc là sẽ bíu_ty phun lắm đây,0
nhà thầy đâu tết ghé coi,0
lê văn_tám là hư_cấu bacd,0
dân miền tây_nam rất thích đeo vàng khoe khoang nhỉ,0
cưng bã dễ sợ,0
tiên_tri vũ_trụ múa võ vui kinh_nhể thấy tiên_tri dùng thế cuối rồi nói câu súng bắn không trúng dao_chém không lủng tự_dưng muốn cười kinh_khủng_ka ka ka,0
đm hcm đường_mòn hồ chí_minh,2
lại dễ ăn quá làm nhà nhé,0
đinh phước_sống nhanh chậm toi chửi hết,0
cô ba minh_hiếu xuất_sắc quá nè mọi người,0
mời dì hai ca_sỹ tuấn_phong đi anh_chị,0
toi bên này toi còn dell giám_dùng tien mà chj xaolol nhà toàn trã góp sūa lon,2
duy_trần xin video luôn ông ơi,0
lộc đéo cmt là bác yên_roi lộc cmt cái bác lên nóc nhà bắt gà bãi đéo nào có dấu_răng của lon,1
thầy khong múa quạt nhỉ,0
ngô tấn_hưng ông đang nâng trình thầy ba kéo trình duke xuống vậy,0
lại nghĩ cảnh tập_trận chống bạo_động đại_hội đảng cứ tập_trận như đúng rồi sợ dân ta đến biểu_tình nên phải làm_vậy đây mà,2
này khong bỏ tù_cung phải bồi_thường thiệt_hại đất_nước thì mới mong sự tha_thứ,0
đúng là chỉ còn loi khong mà hai văn được,0
thứ ngu như may nói_chuyện mất tg_đi học_lại lớp mẫu_giáo đi,2
may là có ý_thức chứ khong như mấy người bỏ trốn,0
nguyễn_đạt tôi nói khong cùng gu mà bro,0
người cao bằng đẹp_trai là thế đấy các bạn,0
kb ib có video,0
bé bú trên để bố bú dưới,0
ba gà dẫn gái về phong_stream,0
cô giống đàn_ông thế cháu tưởng đàn_ông,0
vì yêu anh nên em_nguyện làm ng tăng động,0
tối em sẽ đi học chớ khong đi chơi nha abe,0
bố lạy mày đừng hiếp_dâm thị_giác của bố nữa ad,1
nguyễn_hoàng hoài_thương,0
đỗ thủy trinh_giông y_mạng nhà may,0
toàn dân_công_giáo,0
hóng phim rạp,0
bạn bị phạt chê lãnh_đạo kênh kiệu_ngu cùi bắp không phải vì bạn xúc_phạm họ mà vì bạn đã lộ bí_mật quốc_gia,2
cực_kỳ thuyết_phục,0
có chơi gay_khong ib mình đi,0
tran dan tien bo_moi gia_nhap dcs,0
khoe_ké với,0
okay thả tim bạn,0
tot zai,0
gốc tàu mà chửi trung_quốc ghê,0
cố lên cố lên,0
dương_ly nhím,0
đặt khô gà đâu thầy ơi,0
phan_quỳnh anh bóp là gì may,0
chào các bạn quay trở_lại với tòi súng_vờ lốc,0
rách háng như_chơi,0
có_vẻ là người nổi_tiếng,0
súng bắng khong_chít dao_chặc khong_đức tấc_nhiêng vi_trùng tô_vít xâm_nhập dần_đần tui cam_đoan là như zị_ơn zời dần_đần có món thần_quyền môn nếu khong giờ tò_tí te roày,0
hàng fake bạn,0
động_cơ quyên_góp tiền là gì,0
đm ad may_óc cức lắm đm người ta khổ chứ đéo rãnh lên đăng ba cái tào_lao như may đâu may người ta đồng xu_cắt bạc nào chưa đây xạo_lồn mẹ may_sinh cái tay may_ra trước may ngu,2
nổ như chó,1
toi đã đi ngủ từ lúc 10 nhưng đ_thể_nào ngủ nổi,0
công_nhận cái khẩu_trang giống thật còn,0
đúng là kingdom_đẳng_cấp khác hẳn,0
có lồn đâu mà lấy tỷ chùi trời,1
yếu_đuối vai lon thế thì bước nổi sóng_gió cuộc_đời,0
hợp_lý,0
nhìn cái bút đã muốn ấy ấy,0
òa là thầy_giáo lại vừa đẹp_trai lại chu_đáo mê quá đi,0
khôn rồi đấy toi sẽ may lại trái_đất,0
nhớ bả_binh lắm mà,0
sam sam hậu_hoàng đó,0
bao_giờ đến ngày_xưa chúng_ta hãy biết_ơn lịch_sử suốt từ thời lần đánh nam_hán trên sông bạch_đằng đừng như bây_giờ tên không dám gọi chúc bác lượng luôn an_toàn,2
nó chửi như_vậy mà vẫn là cô linh_cơ không có lòng tự_trọng,0
nhìn bà trang giống tăng thanh_hà ghê,0
mệt quá thầy,0
phải chăng vn sẽ chia làm đôi miền bắc khựa miền nam mẽo miền trung_chắc lào,0
hợp_lý hơn nè abe,0
cách_ly tại nhà rồi nhaa may,0
bao_nhiêu cái tý trôi rồi mà vẫn không thấy đâu quá buồn,0
đéo biết game phải để giải_trí không nữa,1
có màu rằn ri_khong ban,0
kanh nè,0
chịu cứng,0
đã dislike_mv của jack để ủng_hộ cây ây_ti em,0
diễm ngọc vui thôi đừng vui quá,0
lưu bảo_toàn đọc hại não vai ca lon,1
tưởng gì bắt_chước trend của mình hồi nhỏ ngàn trăm hồi đó,0
khỏi đi để cháu còn đi học,0
thầy địt mẹ giả tạo vai lon,2
đỷ chị minh_hiếu,2
giáo_án phi_te của thầy thật bổ_ích,0
nhungcovid tài_trợ hết lo gì,0
hahaha đĩ nl bà sinh_lon bị sình đó ban,2
mỹ_duyên_toi kể chuyện gì dạ,0
vẫn là abe nhưng nền nhạc khác,0
lolz,1
mai quach tot hoa rơi cửa phật,0
aba nhớ đem này thế_giới nhé abe,0
yêu cô quá,0
này mất khối tiền,0
thầy review dùm em cái mông này,0
cô thấy cưng dễ_thương quá iu cô,0
muốn gớt nước_mắt,0
chui lu viet nam roi toi chui bac ky troi,0
vậy thay_vì hô_bớ người ta ăn_cướp thì nạn_nhân nên hô phản_động kìa,0
bả lên ti_quy_đẹp dễ sợ duyên_dáng hà,0
nó có lây đường đt khong,0
link facebook anh trần văn_xuân nè mọi người,0
tộc mixi có khác 33,0
xin nhà tiên_tri biết liệu đại_dịch covid 19 này lũ cđ tại hải_ngoại có_thể miễn_dịch khong và nếu bị nhiễm dịch thì lũ sỏ lá sẽ đổ lỗi cộng_sản sự chủ_quan của chính_quyền mỹ,2
đâu mà cái này là đang mua vn dưới hình_thức trả_góp đó,0
nghe rất lí_mạc sầu nhưng lại rất cô cô,0
cả cái thằng máu lồn ad nữa dạo này cứ đăng mấy cái nhảm lồn thích mua hộp cơm 200 thì vè nhà cắm mẹ may cơm mà ăn đi xăm_xoi cái lồn_ý,2
mai thu_hoàng tôi còn vừa bị chặn cmt rồi kìa đúng là đáng sợ hơn cả dịch,0
nguyễn_văn_huân,0
ủa bữa khóc_lóc xin_lỗi rồi giờ chửi tiếp hả,0
thùy trang giờ có nè,0
dễ_thương quá bé ba ơi,0
tâm trần_ch dừng lại đâu,0
đây là thầy ba tuần dùm dầu_gội,0
