input_text,target_reason
hate-speech-qa: Ngữ cảnh: 'Còn này thật hoc' Câu hỏi: Tại sao câu này độc hại?,"Miệt thị bằng từ ('thật hoc') gần giống ('thất học'), xúc phạm trình độ nhận thức và lăng mạ nhân phẩm cá nhân, đồng thời cố ý hạ nhục nhằm kích động thù hiềm trên mạng xã hội."
hate-speech-qa: Ngữ cảnh: 'nguoi ta co tien lam rang gia.cgu.bon minh tien dau.lam.bactram trieu do bo' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Tỉ phú nào đấy tẩy chay đồ vô học' Câu hỏi: Tại sao câu này độc hại?,"Từ 'vô học' được dùng để miệt thị, hạ thấp nhân phẩm, mang tính xúc phạm và phán xét tiêu cực. ('vô học')"
hate-speech-qa: Ngữ cảnh: 'L** mày cho chó nó còn không Liếm nữa có đâu mà mày đưa lộn cho người ta ăn con thú vật đầu thai' Câu hỏi: Tại sao câu này độc hại?,"Sử dụng từ ngữ 'L** mày' thô tục, xúc phạm nghiêm trọng. Cụm từ 'thú vật đầu thai' mang tính phi nhân hóa, hạ thấp giá trị con người."
hate-speech-qa: Ngữ cảnh: 'Bạn bè bên dai loan và bên nước Việt Nam mình kg tha thứ cho no cho nó một bài học cho nó biết thế nào la suc Phạm dân tộc Việt Nam  kg cho nó bài hoc nó kg sợ dau an nói tuc tĩu mất dạy quá' Câu hỏi: Tại sao câu này độc hại?,"Kêu gọi 'cho nó một bài học' vì 'súc phạm dân tộc Việt Nam' và 'tục tĩu mất dạy', thể hiện thái độ thù địch, kích động trả đũa."
hate-speech-qa: Ngữ cảnh: 'Tham nhũng hèn gì chúng nó giàu thế' Câu hỏi: Tại sao câu này độc hại?,"Từ 'chúng nó' ('chúng nó') mang tính miệt thị, phi nhân hóa, và quy chụp một nhóm người, ngụ ý khinh thường và phân biệt đối xử."
hate-speech-qa: Ngữ cảnh: 'Đi ô tô gây ô nhiễm môi trường hơn xe máy' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'DLV: đây chỉ là con sâu làm rầu nồi canh thôi :v' Câu hỏi: Tại sao câu này độc hại?,"Sử dụng 'DLV' để gán nhãn và 'con sâu' để phi nhân hóa, miêu tả một nhóm là yếu tố phá hoại, gây chia rẽ và khinh miệt."
"hate-speech-qa: Ngữ cảnh: 'Chơi với thằng nào cũng được,trừ thằng tàu cộng ra,ok' Câu hỏi: Tại sao câu này độc hại?","Sử dụng cụm từ 'thằng tàu cộng' là lời lẽ miệt thị, phân biệt chủng tộc, thể hiện sự thù địch và định kiến với người gốc Trung Quốc."
"hate-speech-qa: Ngữ cảnh: 'Tuyệt vời,hay ko bằng hên.' Câu hỏi: Tại sao câu này độc hại?","Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Bây giờ biết thằng mặt heo là ai rồi' Câu hỏi: Tại sao câu này độc hại?,"Sử dụng từ 'thằng' và 'mặt heo' là xúc phạm, hạ thấp nhân phẩm và miệt thị ngoại hình."
"hate-speech-qa: Ngữ cảnh: 'Dàn producer quá đỉnh rùi, Hoaprox ko còn gì bàn hơn hẳn em producer vác đàn nhấp :)), cá nhân thấy nhạc hay vui mà giọng em Jack hát bài này hơi đuối ko hiểu sao. Chúc e thành công hơn nữa nhé.' Câu hỏi: Tại sao câu này độc hại?","Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'sẵn ạ' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Thằng này nó nghĩ nó là ai. Không cách ly thì cút qua nước khác mà sống.' Câu hỏi: Tại sao câu này độc hại?,"Sử dụng từ 'cút' và cụm 'qua nước khác mà sống' mang tính xúc phạm, kỳ thị, và xua đuổi người khác khỏi cộng đồng."
hate-speech-qa: Ngữ cảnh: 'CÔ BA NHÀ NGÀN SAO NÊN Ở LANG THANG NGOÀI ĐƯỜNG' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
"hate-speech-qa: Ngữ cảnh: 'Không dám mở shop vì sợ quản lý thị trường, bộ công thương sờ gáy' Câu hỏi: Tại sao câu này độc hại?","Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Phạm Hằng Nga like chi rứa má :v' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Xạo l' Câu hỏi: Tại sao câu này độc hại?,"Xạo l' là từ xúc phạm vì kết hợp 'xạo' (nói dối) với từ tục tĩu chỉ bộ phận sinh dục nữ, dùng để chửi rủa, hạ thấp người khác."
hate-speech-qa: Ngữ cảnh: 'Dân chống nhưng quan chức không chống' Câu hỏi: Tại sao câu này độc hại?,"Câu này xúc phạm vì khái quát hóa, ngụ ý 'quan chức không chống' là thiếu trách nhiệm, gây chia rẽ và chỉ trích một nhóm người."
"hate-speech-qa: Ngữ cảnh: 'Với tài năng của thủ tướng cộng với trí tuệ của ông Kiên, minh tin rằng năm sau kinh tế VN sẽ hóa rồng lộn xuống thiên đường XHCN' Câu hỏi: Tại sao câu này độc hại?","Từ 'rồng lộn' là cách nói mỉa mai, hạ thấp, ám chỉ sự thất bại và chế giễu triển vọng kinh tế, lãnh đạo."
hate-speech-qa: Ngữ cảnh: 'Má nó em tức ghê ớ' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Nguyễn Nghĩa hạ hoà có ca nghi r nè' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
"hate-speech-qa: Ngữ cảnh: 'NKYN đừng promote mấy cái này quá, trẻ, phụ nữ , nghe có vẻ hay, bình đẳng, nhưng thực ra ko phải như vậy. Quản trị quốc gia cần người có tầm nhìn, có phẩm chất vac năng lực, chứ ko phải thấy trẻ, phụ nữ, chọn vô như kiểu 1 biểu tượng mà làm việc ko ra gì thì toi rồi, nó khác gì cách đảng CS chọn người, hồng hơn chuyên. Suy nghĩ kĩ đi. Giải độc cộng sản đã khó, giải độc tư tưởng cánh tả còn khó hơn.' Câu hỏi: Tại sao câu này độc hại?","Sử dụng từ ngữ thù địch/chính trị cực đoan như “‘đảng CS’”, “‘giải độc cộng sản’”, “‘giải độc tư tưởng cánh tả’” và định kiến về “‘phụ nữ’”, “‘trẻ’”."
hate-speech-qa: Ngữ cảnh: 'trời ơi trời abe chơi local brand hả?' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Có trao giấy khen ko thầy' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'T sợ nó chấp nhận' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Đạt Phạm dcu m đùa dai như tk bố m thế' Câu hỏi: Tại sao câu này độc hại?,Cụm từ 'dcu m' ('địt con mẹ mày') là lời chửi thô tục. 'tk bố m' ('thằng bố mày') xúc phạm và lăng mạ người thân của đối tượng.
hate-speech-qa: Ngữ cảnh: 'Trần Nhật 🙂 ủa tao nhai lai của ai. M lạ lồn thế . Đmm lướt lại cmt xem tòan mấy thánh kêu sống chậm thôi sống nhanh quá ak hay m cx nằm trong số cmt đấy r m quay ra ns tao' Câu hỏi: Tại sao câu này độc hại?,"Sử dụng từ ngữ tục tĩu, xúc phạm trực tiếp như 'lồn' và 'Đmm' nhằm hạ thấp, lăng mạ người đối thoại, thể hiện sự hung hăng và thiếu tôn trọng."
hate-speech-qa: Ngữ cảnh: 'đm thầy nhớ thấy lol' Câu hỏi: Tại sao câu này độc hại?,"Sử dụng từ ngữ tục tĩu, xúc phạm ('đm', 'lol') thể hiện sự thiếu tôn trọng và công kích cá nhân, đặc biệt nhắm vào ""thầy""."
hate-speech-qa: Ngữ cảnh: '589952505' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
"hate-speech-qa: Ngữ cảnh: 'Dòng giống gì không biết, khi không lôi anh t vào chi vậy :))' Câu hỏi: Tại sao câu này độc hại?","Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Khúc Hương Giang ủa chớ sao dzẩy. Chạy event hả' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Yêu người con gái Khmer kìa. Ngay bài idol' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Nguyễn Thịnh như con đĩ quái thai. Bổ xug thêm con cu nưa nhé. Trứng hơi to 😁😁😁' Câu hỏi: Tại sao câu này độc hại?,"Sử dụng từ ngữ 'con đĩ', 'quái thai', 'con cu' và ám chỉ tình dục để xúc phạm, hạ thấp nhân phẩm cá nhân."
hate-speech-qa: Ngữ cảnh: 'oki anh❤️' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Giang hôm qua ở hoàn kiếm à ô' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Lại Hợp Sâm clm đến v thì /ff' Câu hỏi: Tại sao câu này độc hại?,"Từ 'clm' ('cái lồn mẹ') là từ ngữ tục tĩu, mang tính xúc phạm nặng nề và hạ thấp nhân phẩm người khác."
"hate-speech-qa: Ngữ cảnh: '2 cái thằng mọi rợ này phải cho nó ở tù mục xương thì nó mới tởn ! Chứ cho bọn nó ở tù có vài năm, bọn nó đéo có sợ đâu !' Câu hỏi: Tại sao câu này độc hại?","Sử dụng từ 'mọi rợ' để miệt thị, phi nhân hóa đối tượng, cùng với 'mục xương' thể hiện mong muốn trừng phạt tàn bạo và từ 'đéo' thô tục."
hate-speech-qa: Ngữ cảnh: 'Cái này thì đc này.' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Du ma  may nha . May ve day tao dap ma may ko ra' Câu hỏi: Tại sao câu này độc hại?,"'Du ma may' là lời chửi thô tục, xúc phạm mẹ. 'dap ma may' đe dọa bạo lực, xúc phạm tổ tiên."
hate-speech-qa: Ngữ cảnh: 'Đ’ nói nhiều cái thằng quốc khánh' Câu hỏi: Tại sao câu này độc hại?,"""'Đ’"" ('Đéo') là từ chửi thề tục tĩu. ""Cái thằng"" là cách gọi miệt thị, hạ thấp, xúc phạm người khác."
hate-speech-qa: Ngữ cảnh: 'T m ngu' Câu hỏi: Tại sao câu này độc hại?,"Sử dụng từ 'ngu' và cách xưng hô 'T m' (thằng mày/tụi mày) là xúc phạm, hạ thấp trí tuệ và nhân phẩm người khác."
hate-speech-qa: Ngữ cảnh: 'Nguyễn Thị Duyên vậy thì làm sao vượt qua sóng gió cuộc đời 😌' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Đụ Má...... Con bede sấu nhất quả đất' Câu hỏi: Tại sao câu này độc hại?,"Sử dụng từ tục tĩu 'Đụ Má' và từ miệt thị 'bede' nhắm vào người thuộc cộng đồng LGBTQ+, kết hợp với xúc phạm ngoại hình, thể hiện sự thù địch."
hate-speech-qa: Ngữ cảnh: 'Cực kì thuyết phục:(' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Ánh sáng của Đảng :))' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Chào thầy ba girl😌nứng vcl' Câu hỏi: Tại sao câu này độc hại?,"Câu này xúc phạm vì sử dụng từ ngữ tục tĩu, khiêu dâm ('nứng vcl') để quấy rối và hạ thấp nhân phẩm người khác."
hate-speech-qa: Ngữ cảnh: 'Tiến Chiểu sao thằng này lại là chủ tịch' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Hình như admin trang này là 1 fan cuồng của Việt Tân' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Nói chứ thấy bà này nói chuyện cứ sao sao như con khùng' Câu hỏi: Tại sao câu này độc hại?,"Từ 'con khùng' là lời miệt thị, xúc phạm người khác bằng cách gán ghép bệnh tâm thần, hạ thấp nhân phẩm."
hate-speech-qa: Ngữ cảnh: 'chỉ cần 1 đội làm điên đảo cộng đồng' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Nguyễn Việt   Hehehe!' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Cho em liếm lỗ nhị Thầy' Câu hỏi: Tại sao câu này độc hại?,"Sử dụng từ ngữ 'liếm lỗ nhị' mang tính quấy rối tình dục, tục tĩu và hạ thấp nhân phẩm, đặc biệt khi nhắm vào giáo viên."
hate-speech-qa: Ngữ cảnh: 'Em thì thích nhất môn này của thầy mong thầy ra khoá mới để em học tập thêm ạ' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
"hate-speech-qa: Ngữ cảnh: 'Đất nước hạnh phúc nhất thế giới là người dân ngày đêm cày kéo làm để trả nợ thay cho lũ ăn tàn phá hoại đất nước này . Muốn dân hết khổ thì cho vài ba trận đá banh thì dân cứ bão với lũ là hết thôi , cứ quán nhậu mọc nhiều hơn thư viện sách thì dân có ngu cũng phải cho mình là thông minh , bởi rượu vào lời ra thì mạnh ai người ấy nói kk' Câu hỏi: Tại sao câu này độc hại?","Sử dụng từ ngữ công kích và miệt thị như “‘lũ ăn tàn phá hoại’”, “‘dân có ngu’”, nhằm xúc phạm và hạ thấp một nhóm người."
"hate-speech-qa: Ngữ cảnh: 'Hiếu ơi hiện có kênh con LisaO chửi cả DÂN TỘC VIỆT NAM NGU VÌ ĂN MẮM THÚI , EM LÊN DẠY DỖ CHO NÓ BÀI HỌC ĐI EM, BỨC XÚC QUÁ.cảm ơn em.' Câu hỏi: Tại sao câu này độc hại?","Cụm từ 'DÂN TỘC VIỆT NAM NGU VÌ ĂN MẮM THÚI' miệt thị, xúc phạm cả một dân tộc, gán ghép đặc điểm tiêu cực dựa trên văn hóa ẩm thực."
hate-speech-qa: Ngữ cảnh: 'Con này rễ bị chặt đầu và tứ chi quá.đất đó t thấy nhiều đứa khùng con này ko ngoại lệ' Câu hỏi: Tại sao câu này độc hại?,"Đe dọa bạo lực nghiêm trọng ('chặt đầu và tứ chi') và sử dụng từ ngữ miệt thị, xúc phạm ('khùng', 'con này') nhằm hạ thấp nhân phẩm đối tượng."
hate-speech-qa: Ngữ cảnh: 'Sao giờ nhiều chương trình nhố nhăng thế khg biết' Câu hỏi: Tại sao câu này độc hại?,"Từ 'nhố nhăng' là từ miệt thị, đánh giá tiêu cực, thiếu tôn trọng, gán nhãn chương trình là vô giá trị."
hate-speech-qa: Ngữ cảnh: 'mọi người dành ít phút like hoặc thả tim clip của lớp em nha. Em cảm ơn ❤' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Iu cô gái khơ me hàm răng trắng tác cái l** đen thui 🙏🙏' Câu hỏi: Tại sao câu này độc hại?,"Sử dụng từ ngữ tục tĩu, miêu tả bộ phận sinh dục phụ nữ một cách thô tục, xúc phạm và phân biệt chủng tộc/màu da qua cụm từ 'cái l** đen thui'."
hate-speech-qa: Ngữ cảnh: 'Tuấn Bảo Coi thường thầy quá rồi' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Ilove you too' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Trung Quốc gọi bọn này bằng cụ tổ 😕' Câu hỏi: Tại sao câu này độc hại?,"""Bọn này"" là từ miệt thị, hạ thấp giá trị con người. ""Cụ tổ"" ám chỉ sự phục tùng, yếu kém một cách xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Đcm. Nó đóng thuế nghìn tỉ thì nó được quyền giết người à con chó' Câu hỏi: Tại sao câu này độc hại?,"Các từ 'Đcm','con chó','giết' thể hiện sự thù địch, gây ra những hành động mang tính chủ đích hướng tới một cá nhân"
hate-speech-qa: Ngữ cảnh: 'Châu ơi em sắp chết luôn ời' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
"hate-speech-qa: Ngữ cảnh: 'Tôi chơi banh bóng ở nhóm ông anh Trần Khiêm này chưa bao giờ mất 1 đồng phí hay lộc lá cho ai cả. Trong nhóm a.e giao lưu và nhận Kèo miễn phí, tỉ lệ win cao mà mấy a.e nhiệt tình nên giới thiệu cho ông nào cũng đam mê mà đang xa bờ thì xin vào nhóm mà tham khảo . Linlk Fb cho ae Liên hệ' Câu hỏi: Tại sao câu này độc hại?","Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
"hate-speech-qa: Ngữ cảnh: 'Nhok Lầy cái nick thì clone, avatar thì đéo dám để ảnh thật :v gáy cũng kinh đấy! Thằng trẻ con vô văn hoá!' Câu hỏi: Tại sao câu này độc hại?",Sử dụng từ ngữ tục tĩu ('đéo') và xúc phạm cá nhân ('thằng trẻ con vô văn hoá') nhằm hạ thấp và miệt thị đối tượng.
"hate-speech-qa: Ngữ cảnh: 'Cố lên chú ơi,có sự chỉ đạo tận tình của chú sẽ vượt qua dịch bệnh,việt nam cố lên cố lên' Câu hỏi: Tại sao câu này độc hại?","Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
"hate-speech-qa: Ngữ cảnh: 'Ở đéo đâu chả có ung thư :/ đời sống đi lên tỷ lệ bệnh tật nhiều. Vn còn hơn chán bọn tây lông là hầu như đứa nào cũng dị ứng nhé. Lại cái bài ca vn trong top tỉ lệ ung thư cao, còn cao nhiêu thì số liệu đéo rõ ràng. Top các nước ung thư cao thế giới toàn eu với mỹ hết :/' Câu hỏi: Tại sao câu này độc hại?","Sử dụng từ ngữ miệt thị 'bọn tây lông' để chỉ người phương Tây, mang tính phân biệt chủng tộc và xúc phạm."
hate-speech-qa: Ngữ cảnh: 'thằng viết bài thật là cứng' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Cái thần này.gió chieu nao .che chiei đo.khau ngiep.chet ko đau thai' Câu hỏi: Tại sao câu này độc hại?,"Sử dụng lời nguyền rủa ('khau ngiep', 'chet ko đau thai'), ám chỉ nghiệp báo tiêu cực và cái chết không siêu thoát, mang tính xúc phạm nặng nề."
hate-speech-qa: Ngữ cảnh: 'Ngày xưa em bỏ anh theo thằng bán khẩu trang.' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Bã dễ thương quá à 🥰😍' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Nhàn Lê bài này đọc tên là biết chie để khịa thôi.:)))' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Tối ngày rồi mệt chứ làm gì mà ham' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Thôi anh ơi chuẩn bị về mở tiệm bánh tráng là được rồi' Câu hỏi: Tại sao câu này độc hại?,"Câu này 'miệt thị' và 'hạ thấp' người khác, ngụ ý họ chỉ xứng đáng với công việc 'mở tiệm bánh tráng' như một sự thất bại."
hate-speech-qa: Ngữ cảnh: 'Đéo hiểu thằng này k có não sao làm đc quan nhỉ?' Câu hỏi: Tại sao câu này độc hại?,"Sử dụng từ ngữ tục tĩu ('Đéo'), miệt thị ('thằng này') và xúc phạm trí tuệ ('k có não'), thể hiện sự thiếu tôn trọng và hạ thấp nhân phẩm."
hate-speech-qa: Ngữ cảnh: 'Lisa là con phản động.. ///. Sao bằng cô này' Câu hỏi: Tại sao câu này độc hại?,"Các từ 'phản động', '///' mang hàm ý chống phá, thù địch với động cơ chính trị và gán ghép một cá nhân"
hate-speech-qa: Ngữ cảnh: 'Bắn chet moe abe h' Câu hỏi: Tại sao câu này độc hại?,"Từ 'bắn chet moe' kêu gọi bạo lực, mong muốn cái chết và sử dụng ngôn ngữ tục tĩu, xúc phạm nghiêm trọng."
hate-speech-qa: Ngữ cảnh: 'deo vang co do do😂😂😂' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Chúc Tộc Trưởng nghỉ lễ vui vẻ. Chúc các Tộc ca Tộc Tỉ nghỉ lễ vui vẻ 💛💛' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Đêm đến chỉ thích nắm tay ai đó thôi 🤪' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Con bóng già h mới lộ :v :)))' Câu hỏi: Tại sao câu này độc hại?,"Sử dụng từ ngữ miệt thị ""'con bóng'"" để xúc phạm người đồng tính, thể hiện sự kỳ thị và phân biệt đối xử dựa trên xu hướng tính dục."
hate-speech-qa: Ngữ cảnh: 'Nguyễn Thịnh quá đáng' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Tao nghĩ con Nhung nó ko những lây nhiễm virus mà nó còn lây nhiễm sự khuyết tật về não và ý thức như buồ.i' Câu hỏi: Tại sao câu này độc hại?,"Sử dụng 'khuyết tật về não' miệt thị người khuyết tật. 'ý thức như buồ.i' là lời lẽ thô tục, xúc phạm, hạ thấp nhân phẩm."
"hate-speech-qa: Ngữ cảnh: 'Đơn giản vì chết ít, nhiều bệnh khác còn chết nhiều hơn.' Câu hỏi: Tại sao câu này độc hại?","Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
